Transaction_ID,Date,Year,Quarter,Month_Year,Month_Name,Bank,Region,Product,Segment,Channel,Currency,Transaction_Value_GBP,Margin_Pct,Revenue_GBP,Operating_Cost_GBP,Net_Revenue_GBP,Status,Risk_Rating,Customer_Age,Credit_Score,Is_Digital,Is_Flagged
TXN1000980,2022-01-02,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Fixed Term Deposit,Private Banking,ATM,GBP,31831.66,2.17,690.75,346.76,343.99,Failed,Low,60,674,0,0
TXN1002907,2022-01-02,2022,Q1 2022,Jan 2022,January,Barclays,Edinburgh,Personal Loan,Private Banking,Mobile App,GBP,23540.03,3.95,929.83,558.83,371.0,Completed,Low,43,633,1,0
TXN1003595,2022-01-02,2022,Q1 2022,Jan 2022,January,Santander UK,London,ISA,Commercial,Online,GBP,15052.46,0.93,139.99,81.89,58.1,Completed,Low,69,570,1,0
TXN1003544,2022-01-03,2022,Q1 2022,Jan 2022,January,Lloyds,Cardiff,Credit Card,Private Banking,ATM,GBP,528.67,17.72,93.68,55.83,37.85,Completed,Low,31,689,0,0
TXN1004470,2022-01-03,2022,Q1 2022,Jan 2022,January,NatWest,Manchester,Credit Card,Private Banking,Branch,GBP,3465.27,17.33,600.53,341.7,258.83,Completed,Low,20,785,0,0
TXN1003307,2022-01-04,2022,Q1 2022,Jan 2022,January,Santander UK,London,Mortgage,Wealth Management,ATM,GBP,204074.31,1.78,3632.52,2125.02,1507.5,Completed,Low,41,841,0,0
TXN1004850,2022-01-04,2022,Q1 2022,Jan 2022,January,Santander UK,London,Savings Account,Wealth Management,Telephone,GBP,27873.9,1.46,406.96,238.07,168.89,Completed,Low,42,412,0,0
TXN1001890,2022-01-05,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,Mortgage,Private Banking,Mobile App,GBP,112518.81,1.78,2002.83,1203.7,799.13,Completed,Medium,63,777,1,0
TXN1002583,2022-01-05,2022,Q1 2022,Jan 2022,January,Santander UK,Liverpool,Personal Loan,Private Banking,ATM,GBP,33618.78,7.5,2521.41,1475.02,1046.39,Completed,Low,51,473,0,0
TXN1003163,2022-01-05,2022,Q1 2022,Jan 2022,January,HSBC,London,Business Loan,Commercial,Mobile App,GBP,433122.55,4.51,19533.83,9805.98,9727.85,Completed,Medium,61,803,1,0
TXN1000068,2022-01-06,2022,Q1 2022,Jan 2022,January,Santander UK,Edinburgh,ISA,Wealth Management,ATM,GBP,6015.36,0.89,53.54,31.32,22.22,Completed,High,49,452,0,0
TXN1000284,2022-01-06,2022,Q1 2022,Jan 2022,January,HSBC,Cardiff,Fixed Term Deposit,Commercial,Telephone,GBP,2262.19,1.22,27.6,13.86,13.74,Completed,Low,49,452,0,0
TXN1003557,2022-01-06,2022,Q1 2022,Jan 2022,January,Santander UK,Leeds,ISA,Retail,Mobile App,GBP,17388.33,1.18,205.18,120.03,85.15,Completed,Low,34,528,1,0
TXN1004193,2022-01-06,2022,Q1 2022,Jan 2022,January,Lloyds,Sheffield,Current Account,Private Banking,ATM,GBP,3654.33,1.52,55.55,33.11,22.44,Completed,Medium,60,573,0,0
TXN1004679,2022-01-06,2022,Q1 2022,Jan 2022,January,Barclays,Birmingham,Current Account,Retail,ATM,GBP,1093.87,0.93,10.17,6.11,4.06,Completed,Low,64,778,0,0
TXN1000669,2022-01-07,2022,Q1 2022,Jan 2022,January,Lloyds,Liverpool,Current Account,Wealth Management,Mobile App,GBP,2311.75,1.55,35.83,21.35,14.48,Completed,Medium,26,326,1,0
TXN1000798,2022-01-07,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,Business Loan,Wealth Management,ATM,GBP,56178.86,4.26,2393.22,1201.4,1191.82,Completed,Low,37,544,0,0
TXN1001122,2022-01-07,2022,Q1 2022,Jan 2022,January,Lloyds,Edinburgh,Savings Account,Private Banking,ATM,EUR,3420.67,1.27,43.44,25.89,17.55,Completed,Low,53,583,0,0
TXN1002363,2022-01-07,2022,Q1 2022,Jan 2022,January,Barclays,Manchester,Mortgage,Commercial,Telephone,EUR,361065.12,2.74,9893.18,5945.8,3947.38,Completed,Low,39,365,0,0
TXN1002891,2022-01-07,2022,Q1 2022,Jan 2022,January,NatWest,Manchester,Savings Account,Commercial,Branch,USD,34367.94,0.82,281.82,160.36,121.46,Pending,Low,55,637,0,0
TXN1004047,2022-01-07,2022,Q1 2022,Jan 2022,January,Barclays,London,Credit Card,Private Banking,Mobile App,GBP,1188.15,17.28,205.31,123.39,81.92,Completed,Low,40,427,1,0
TXN1004152,2022-01-07,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Personal Loan,Retail,Telephone,GBP,29071.91,3.84,1116.36,560.41,555.95,Pending,Low,59,812,0,0
TXN1004332,2022-01-07,2022,Q1 2022,Jan 2022,January,HSBC,Edinburgh,Business Loan,Wealth Management,Mobile App,GBP,53736.77,4.79,2573.99,1292.14,1281.85,Completed,Medium,61,833,1,0
TXN1001381,2022-01-08,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,Current Account,Private Banking,Telephone,GBP,1881.79,1.72,32.37,16.25,16.12,Failed,High,55,688,0,0
TXN1002444,2022-01-08,2022,Q1 2022,Jan 2022,January,Lloyds,Sheffield,Credit Card,Private Banking,Telephone,GBP,4296.93,19.29,828.88,494.01,334.87,Completed,Low,26,452,0,0
TXN1003062,2022-01-08,2022,Q1 2022,Jan 2022,January,Barclays,Birmingham,Savings Account,Wealth Management,Branch,GBP,12699.67,0.46,58.42,35.11,23.31,Completed,Low,73,737,0,0
TXN1003584,2022-01-08,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,Personal Loan,Private Banking,Branch,GBP,28039.53,3.5,981.38,589.81,391.57,Completed,Low,43,551,0,0
TXN1001097,2022-01-09,2022,Q1 2022,Jan 2022,January,HSBC,Liverpool,Savings Account,Retail,ATM,GBP,12810.39,0.96,122.98,61.74,61.24,Failed,Low,61,642,0,0
TXN1001773,2022-01-09,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,Current Account,Retail,Mobile App,USD,385.87,0.85,3.28,1.97,1.31,Completed,High,45,808,1,0
TXN1001872,2022-01-09,2022,Q1 2022,Jan 2022,January,Lloyds,Liverpool,Current Account,Private Banking,Online,GBP,4717.78,0.91,42.93,25.59,17.34,Completed,Medium,53,319,1,0
TXN1002770,2022-01-09,2022,Q1 2022,Jan 2022,January,HSBC,Glasgow,Fixed Term Deposit,Retail,Online,GBP,30925.71,2.97,918.49,461.08,457.41,Completed,Medium,18,779,1,0
TXN1003278,2022-01-09,2022,Q1 2022,Jan 2022,January,HSBC,Manchester,Current Account,Retail,ATM,GBP,3108.12,1.87,58.12,29.18,28.94,Completed,Low,34,843,0,0
TXN1003811,2022-01-09,2022,Q1 2022,Jan 2022,January,NatWest,Edinburgh,Credit Card,Wealth Management,Telephone,GBP,2238.45,8.8,196.98,112.08,84.9,Completed,Low,62,777,0,0
TXN1000645,2022-01-10,2022,Q1 2022,Jan 2022,January,Barclays,London,Savings Account,Private Banking,Mobile App,GBP,2528.37,0.75,18.96,11.39,7.57,Completed,Low,33,504,1,0
TXN1001608,2022-01-10,2022,Q1 2022,Jan 2022,January,NatWest,Liverpool,Fixed Term Deposit,Commercial,ATM,GBP,1332.51,2.3,30.65,17.44,13.21,Completed,Low,23,424,0,0
TXN1002740,2022-01-10,2022,Q1 2022,Jan 2022,January,Barclays,Sheffield,Mortgage,Retail,Online,GBP,62088.77,2.45,1521.17,914.22,606.95,Completed,Low,54,657,1,0
TXN1003528,2022-01-10,2022,Q1 2022,Jan 2022,January,NatWest,Bristol,ISA,Wealth Management,Online,GBP,16744.76,0.62,103.82,59.07,44.75,Completed,Low,54,558,1,0
TXN1004111,2022-01-10,2022,Q1 2022,Jan 2022,January,HSBC,Glasgow,Savings Account,Retail,Online,GBP,25934.22,0.59,153.01,76.81,76.2,Completed,Low,36,386,1,0
TXN1004589,2022-01-10,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Business Loan,Commercial,ATM,GBP,407169.71,5.63,22923.65,11507.67,11415.98,Completed,Low,49,794,0,0
TXN1000688,2022-01-11,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,Savings Account,Commercial,ATM,GBP,27780.62,1.26,350.04,199.17,150.87,Completed,Low,31,465,0,0
TXN1000826,2022-01-11,2022,Q1 2022,Jan 2022,January,HSBC,London,Savings Account,Commercial,Branch,GBP,18042.09,0.79,142.53,71.55,70.98,Completed,Low,29,840,0,0
TXN1001862,2022-01-11,2022,Q1 2022,Jan 2022,January,HSBC,Liverpool,Credit Card,Wealth Management,ATM,GBP,874.58,16.17,141.42,70.99,70.43,Completed,Low,29,355,0,0
TXN1001915,2022-01-11,2022,Q1 2022,Jan 2022,January,Lloyds,Liverpool,ISA,Commercial,Telephone,GBP,8226.19,1.78,146.43,87.27,59.16,Pending,Low,31,424,0,0
TXN1003821,2022-01-11,2022,Q1 2022,Jan 2022,January,Santander UK,Bristol,Savings Account,Retail,Mobile App,GBP,15719.46,0.46,72.31,42.3,30.01,Flagged,Low,50,767,1,1
TXN1002541,2022-01-12,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,Personal Loan,Private Banking,Telephone,GBP,28398.75,4.73,1343.26,807.3,535.96,Pending,Low,43,622,0,0
TXN1003229,2022-01-12,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,Personal Loan,Private Banking,Branch,GBP,5787.63,7.47,432.34,217.03,215.31,Completed,Low,28,378,0,0
TXN1003556,2022-01-12,2022,Q1 2022,Jan 2022,January,Barclays,Glasgow,Fixed Term Deposit,Private Banking,Branch,GBP,86214.62,2.78,2396.77,1440.46,956.31,Completed,Low,47,601,0,0
TXN1000654,2022-01-13,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,ISA,Wealth Management,Online,GBP,1760.03,1.14,20.06,11.41,8.65,Flagged,Low,27,509,1,1
TXN1001717,2022-01-13,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,Fixed Term Deposit,Retail,Telephone,GBP,53855.45,3.06,1647.98,937.7,710.28,Completed,Low,43,598,0,0
TXN1002602,2022-01-13,2022,Q1 2022,Jan 2022,January,HSBC,Cardiff,Personal Loan,Retail,Mobile App,GBP,31748.05,5.66,1796.94,902.06,894.88,Pending,Low,25,526,1,0
TXN1003243,2022-01-13,2022,Q1 2022,Jan 2022,January,Barclays,Manchester,Fixed Term Deposit,Wealth Management,Branch,GBP,1538.99,2.12,32.63,19.61,13.02,Completed,Low,50,590,0,0
TXN1003804,2022-01-13,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,Personal Loan,Private Banking,ATM,GBP,38747.39,4.13,1600.27,803.34,796.93,Pending,Medium,46,624,0,0
TXN1001744,2022-01-14,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,Fixed Term Deposit,Commercial,Mobile App,GBP,31652.39,2.99,946.41,568.79,377.62,Completed,Low,63,467,1,0
TXN1003349,2022-01-14,2022,Q1 2022,Jan 2022,January,Lloyds,Glasgow,Business Loan,Private Banking,Online,GBP,26406.08,2.71,715.6,426.5,289.1,Completed,Low,68,832,1,0
TXN1004007,2022-01-14,2022,Q1 2022,Jan 2022,January,Lloyds,Manchester,Mortgage,Retail,Telephone,GBP,74598.58,1.84,1372.61,818.08,554.53,Pending,Medium,61,382,0,0
TXN1004069,2022-01-14,2022,Q1 2022,Jan 2022,January,Santander UK,Cardiff,Fixed Term Deposit,Private Banking,Online,GBP,88068.33,3.2,2818.19,1648.64,1169.55,Completed,Low,61,538,1,0
TXN1004901,2022-01-14,2022,Q1 2022,Jan 2022,January,HSBC,Cardiff,Current Account,Wealth Management,Telephone,GBP,3775.6,1.59,60.03,30.14,29.89,Completed,Low,49,353,0,0
TXN1004936,2022-01-14,2022,Q1 2022,Jan 2022,January,Barclays,Liverpool,Fixed Term Deposit,Wealth Management,Online,GBP,57096.24,2.71,1547.31,929.93,617.38,Completed,Low,68,330,1,0
TXN1000667,2022-01-15,2022,Q1 2022,Jan 2022,January,NatWest,Manchester,Current Account,Retail,Mobile App,GBP,3343.35,1.68,56.17,31.96,24.21,Completed,Low,68,307,1,0
TXN1001574,2022-01-15,2022,Q1 2022,Jan 2022,January,Lloyds,Leeds,Business Loan,Commercial,ATM,GBP,317049.35,4.41,13981.88,8333.2,5648.68,Flagged,High,71,740,0,1
TXN1001587,2022-01-15,2022,Q1 2022,Jan 2022,January,Santander UK,Glasgow,Current Account,Wealth Management,Telephone,GBP,1379.23,0.92,12.69,7.42,5.27,Completed,Low,49,578,0,0
TXN1003381,2022-01-15,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Mortgage,Retail,Mobile App,GBP,245257.23,2.55,6254.06,3139.54,3114.52,Completed,Low,74,659,1,0
TXN1003460,2022-01-15,2022,Q1 2022,Jan 2022,January,Barclays,Manchester,Personal Loan,Retail,Mobile App,GBP,12722.45,5.96,758.26,455.71,302.55,Flagged,Medium,19,533,1,1
TXN1001082,2022-01-16,2022,Q1 2022,Jan 2022,January,Lloyds,Bristol,Mortgage,Private Banking,Online,GBP,461840.3,2.39,11037.98,6578.64,4459.34,Completed,Low,50,697,1,0
TXN1002779,2022-01-16,2022,Q1 2022,Jan 2022,January,NatWest,Glasgow,ISA,Retail,Mobile App,GBP,12815.04,1.1,140.97,80.21,60.76,Completed,Medium,46,707,1,0
TXN1004559,2022-01-16,2022,Q1 2022,Jan 2022,January,Lloyds,Leeds,Current Account,Retail,ATM,GBP,1149.3,0.64,7.36,4.39,2.97,Completed,Low,49,652,0,0
TXN1004956,2022-01-16,2022,Q1 2022,Jan 2022,January,NatWest,Bristol,Business Loan,Wealth Management,Telephone,GBP,23939.98,4.37,1046.18,595.28,450.9,Completed,Low,37,526,0,0
TXN1004962,2022-01-16,2022,Q1 2022,Jan 2022,January,Barclays,London,Fixed Term Deposit,Commercial,Online,GBP,4755.92,2.77,131.74,79.18,52.56,Completed,Low,69,606,1,0
TXN1001486,2022-01-17,2022,Q1 2022,Jan 2022,January,Lloyds,Edinburgh,Savings Account,Commercial,Online,GBP,49885.55,1.21,603.62,359.76,243.86,Completed,Low,29,417,1,0
TXN1001579,2022-01-17,2022,Q1 2022,Jan 2022,January,Lloyds,Cardiff,Current Account,Commercial,Telephone,EUR,1357.09,1.23,16.69,9.95,6.74,Completed,Low,72,821,0,0
TXN1001851,2022-01-17,2022,Q1 2022,Jan 2022,January,Lloyds,Sheffield,Business Loan,Commercial,Branch,GBP,151861.48,4.54,6894.51,4109.13,2785.38,Completed,Low,59,745,0,0
TXN1003527,2022-01-17,2022,Q1 2022,Jan 2022,January,Lloyds,Glasgow,Personal Loan,Wealth Management,ATM,GBP,34035.83,4.11,1398.87,833.73,565.14,Completed,Low,46,801,0,0
TXN1000268,2022-01-18,2022,Q1 2022,Jan 2022,January,HSBC,London,Fixed Term Deposit,Commercial,Online,GBP,23153.23,2.52,583.46,292.9,290.56,Failed,Low,63,581,1,0
TXN1000350,2022-01-18,2022,Q1 2022,Jan 2022,January,Barclays,Birmingham,Fixed Term Deposit,Retail,ATM,GBP,2170.18,1.53,33.2,19.95,13.25,Completed,Low,57,565,0,0
TXN1000603,2022-01-18,2022,Q1 2022,Jan 2022,January,Santander UK,Liverpool,Business Loan,Private Banking,Online,GBP,71134.29,3.8,2703.1,1581.31,1121.79,Completed,Low,65,320,1,0
TXN1002315,2022-01-18,2022,Q1 2022,Jan 2022,January,Santander UK,Sheffield,ISA,Commercial,Branch,GBP,13078.47,1.11,145.17,84.92,60.25,Completed,Low,55,604,0,0
TXN1002687,2022-01-18,2022,Q1 2022,Jan 2022,January,Barclays,Liverpool,Personal Loan,Wealth Management,Telephone,GBP,7873.35,3.75,295.25,177.45,117.8,Completed,Low,67,663,0,0
TXN1002889,2022-01-18,2022,Q1 2022,Jan 2022,January,HSBC,Glasgow,Credit Card,Retail,Branch,GBP,4192.1,17.94,752.06,377.53,374.53,Completed,Low,48,508,0,0
TXN1003888,2022-01-18,2022,Q1 2022,Jan 2022,January,Barclays,Birmingham,Personal Loan,Private Banking,Branch,GBP,36469.0,6.78,2472.6,1486.03,986.57,Completed,Medium,73,694,0,0
TXN1000885,2022-01-19,2022,Q1 2022,Jan 2022,January,HSBC,Cardiff,Fixed Term Deposit,Commercial,ATM,GBP,30378.35,2.09,634.91,318.72,316.19,Completed,Medium,61,577,0,0
TXN1002113,2022-01-19,2022,Q1 2022,Jan 2022,January,NatWest,London,Savings Account,Retail,Online,GBP,46113.04,0.88,405.79,230.89,174.9,Completed,Low,46,381,1,0
TXN1002690,2022-01-19,2022,Q1 2022,Jan 2022,January,Santander UK,Manchester,Current Account,Retail,Telephone,GBP,4631.56,0.53,24.55,14.36,10.19,Completed,Low,66,369,0,0
TXN1003105,2022-01-19,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,Credit Card,Retail,Mobile App,GBP,2882.44,12.92,372.41,211.9,160.51,Failed,Medium,58,670,1,0
TXN1003467,2022-01-19,2022,Q1 2022,Jan 2022,January,NatWest,Birmingham,Personal Loan,Wealth Management,ATM,GBP,45939.03,7.05,3238.7,1842.82,1395.88,Completed,Medium,40,552,0,0
TXN1000697,2022-01-20,2022,Q1 2022,Jan 2022,January,Barclays,Cardiff,ISA,Private Banking,ATM,GBP,13889.84,1.43,198.62,119.37,79.25,Completed,Low,54,573,0,0
TXN1001405,2022-01-20,2022,Q1 2022,Jan 2022,January,HSBC,Liverpool,Mortgage,Commercial,ATM,GBP,317329.98,2.07,6568.73,3297.5,3271.23,Completed,Low,24,343,0,0
TXN1003329,2022-01-20,2022,Q1 2022,Jan 2022,January,Santander UK,Manchester,ISA,Private Banking,Telephone,GBP,19388.28,1.44,279.19,163.33,115.86,Completed,Low,35,301,0,0
TXN1003440,2022-01-20,2022,Q1 2022,Jan 2022,January,Barclays,Sheffield,Credit Card,Retail,Online,GBP,2567.41,13.25,340.18,204.45,135.73,Completed,Low,51,723,1,0
TXN1001593,2022-01-21,2022,Q1 2022,Jan 2022,January,HSBC,Bristol,Personal Loan,Private Banking,ATM,GBP,17609.24,5.64,993.16,498.57,494.59,Completed,Low,49,549,0,0
TXN1004385,2022-01-21,2022,Q1 2022,Jan 2022,January,Santander UK,Leeds,Personal Loan,Retail,Online,GBP,10328.32,5.16,532.94,311.77,221.17,Completed,Medium,33,751,1,0
TXN1004731,2022-01-21,2022,Q1 2022,Jan 2022,January,Barclays,Leeds,Fixed Term Deposit,Commercial,Online,GBP,5141.65,2.82,144.99,87.14,57.85,Completed,Low,60,714,1,0
TXN1000787,2022-01-22,2022,Q1 2022,Jan 2022,January,Lloyds,Manchester,Business Loan,Retail,Branch,GBP,77979.87,5.98,4663.2,2779.27,1883.93,Pending,Low,32,474,0,0
TXN1000895,2022-01-22,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,Personal Loan,Private Banking,Mobile App,GBP,10595.97,5.12,542.51,308.69,233.82,Completed,Low,39,396,1,0
TXN1002016,2022-01-22,2022,Q1 2022,Jan 2022,January,Barclays,Leeds,Current Account,Wealth Management,Mobile App,GBP,4053.88,0.77,31.21,18.76,12.45,Completed,Low,65,833,1,0
TXN1002555,2022-01-22,2022,Q1 2022,Jan 2022,January,NatWest,Edinburgh,Fixed Term Deposit,Wealth Management,ATM,USD,23571.8,2.29,539.79,307.14,232.65,Completed,Low,45,636,0,0
TXN1002614,2022-01-22,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Current Account,Commercial,Branch,GBP,4150.85,1.62,67.24,33.75,33.49,Completed,Low,29,649,0,0
TXN1003042,2022-01-22,2022,Q1 2022,Jan 2022,January,Barclays,Sheffield,ISA,Private Banking,Online,GBP,9753.7,1.23,119.97,72.1,47.87,Completed,Low,49,480,1,0
TXN1004783,2022-01-22,2022,Q1 2022,Jan 2022,January,Barclays,Edinburgh,Savings Account,Retail,Mobile App,GBP,1492.18,0.69,10.3,6.19,4.11,Completed,Low,69,313,1,0
TXN1001702,2022-01-23,2022,Q1 2022,Jan 2022,January,Lloyds,Liverpool,Credit Card,Private Banking,ATM,GBP,835.88,20.24,169.18,100.83,68.35,Completed,Low,32,687,0,0
TXN1003443,2022-01-23,2022,Q1 2022,Jan 2022,January,Barclays,Liverpool,Personal Loan,Commercial,ATM,GBP,34588.81,6.5,2248.27,1351.21,897.06,Completed,Low,68,649,0,0
TXN1003837,2022-01-23,2022,Q1 2022,Jan 2022,January,Barclays,London,Mortgage,Private Banking,Telephone,GBP,126369.23,1.56,1971.36,1184.79,786.57,Pending,Low,19,565,0,0
TXN1004885,2022-01-23,2022,Q1 2022,Jan 2022,January,Barclays,Manchester,Credit Card,Private Banking,Online,GBP,4251.54,8.1,344.37,206.97,137.4,Flagged,Low,51,782,1,1
TXN1000157,2022-01-24,2022,Q1 2022,Jan 2022,January,Barclays,Edinburgh,Business Loan,Wealth Management,ATM,GBP,138161.04,3.76,5194.86,3122.11,2072.75,Completed,Low,47,614,0,0
TXN1001691,2022-01-24,2022,Q1 2022,Jan 2022,January,HSBC,Edinburgh,Savings Account,Wealth Management,ATM,GBP,39424.24,1.03,406.07,203.85,202.22,Completed,Low,71,754,0,0
TXN1001752,2022-01-24,2022,Q1 2022,Jan 2022,January,Santander UK,London,Fixed Term Deposit,Private Banking,Branch,GBP,59195.39,3.23,1912.01,1118.53,793.48,Pending,Low,38,619,0,0
TXN1003386,2022-01-24,2022,Q1 2022,Jan 2022,January,Barclays,Leeds,Savings Account,Wealth Management,ATM,GBP,1480.46,0.96,14.21,8.54,5.67,Completed,Low,42,799,0,0
TXN1000220,2022-01-25,2022,Q1 2022,Jan 2022,January,Lloyds,Manchester,Personal Loan,Private Banking,ATM,GBP,49357.24,7.7,3800.51,2265.1,1535.41,Completed,Medium,54,730,0,0
TXN1000630,2022-01-25,2022,Q1 2022,Jan 2022,January,Barclays,Bristol,ISA,Private Banking,ATM,GBP,9704.08,1.17,113.54,68.24,45.3,Completed,Low,43,533,0,0
TXN1000648,2022-01-25,2022,Q1 2022,Jan 2022,January,HSBC,Bristol,Mortgage,Retail,Telephone,GBP,225134.0,1.93,4345.09,2181.24,2163.85,Completed,Medium,59,677,0,0
TXN1000945,2022-01-25,2022,Q1 2022,Jan 2022,January,Barclays,Leeds,Current Account,Commercial,ATM,GBP,1334.13,1.58,21.08,12.67,8.41,Completed,High,43,788,0,0
TXN1001148,2022-01-25,2022,Q1 2022,Jan 2022,January,Lloyds,Edinburgh,ISA,Commercial,Branch,GBP,19094.41,0.75,143.21,85.35,57.86,Completed,Low,70,455,0,0
TXN1002729,2022-01-25,2022,Q1 2022,Jan 2022,January,Lloyds,Liverpool,Current Account,Wealth Management,Branch,GBP,888.04,1.69,15.01,8.95,6.06,Completed,High,19,348,0,0
TXN1002992,2022-01-25,2022,Q1 2022,Jan 2022,January,Santander UK,Cardiff,ISA,Retail,Telephone,GBP,7631.01,1.66,126.67,74.1,52.57,Completed,High,20,640,0,0
TXN1004959,2022-01-25,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Business Loan,Retail,Online,GBP,247540.59,2.8,6931.14,3479.43,3451.71,Pending,Medium,61,348,1,0
TXN1000477,2022-01-26,2022,Q1 2022,Jan 2022,January,NatWest,Manchester,Fixed Term Deposit,Private Banking,Online,GBP,69622.82,2.02,1406.38,800.23,606.15,Completed,Low,33,392,1,0
TXN1002649,2022-01-26,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,ISA,Private Banking,Mobile App,GBP,3239.33,0.94,30.45,15.29,15.16,Failed,Medium,22,636,1,0
TXN1002657,2022-01-26,2022,Q1 2022,Jan 2022,January,NatWest,Leeds,Credit Card,Commercial,ATM,GBP,3639.06,10.07,366.45,208.51,157.94,Completed,Low,34,704,0,0
TXN1004070,2022-01-26,2022,Q1 2022,Jan 2022,January,HSBC,Glasgow,ISA,Retail,ATM,GBP,9893.21,1.23,121.69,61.09,60.6,Completed,Low,43,522,0,0
TXN1004270,2022-01-26,2022,Q1 2022,Jan 2022,January,Barclays,Cardiff,Current Account,Private Banking,Telephone,GBP,1203.24,1.66,19.97,12.0,7.97,Completed,Low,40,350,0,0
TXN1004656,2022-01-26,2022,Q1 2022,Jan 2022,January,NatWest,Manchester,Current Account,Private Banking,Telephone,GBP,1898.32,1.27,24.11,13.72,10.39,Completed,Low,59,567,0,0
TXN1000791,2022-01-27,2022,Q1 2022,Jan 2022,January,Lloyds,Leeds,Savings Account,Retail,Telephone,GBP,33557.9,0.86,288.6,172.01,116.59,Completed,Low,39,513,0,0
TXN1001067,2022-01-27,2022,Q1 2022,Jan 2022,January,Lloyds,Birmingham,Personal Loan,Private Banking,Online,GBP,47885.98,6.34,3035.97,1809.44,1226.53,Completed,Low,57,739,1,0
